times,H005,H007,H010,H022,H032,H060,H100
0.005,,,0.120192939,0.175418054,0.136191544,0.144168685,0.169853556
0.007,,,0.177050299,0.141470918,0.088772267,0.114804688,0.137456555
0.009,,,0.150864403,0.105563637,0.093785903,0.073634079,0.072782821
0.011,0.230836084,0.34983827,0.137189258,0.118551764,0.139750019,0.105136956,0.109129285
0.013,0.325716813,0.334864495,0.215170647,0.13289721,0.13816803,0.129306287,0.137288192
0.015,0.471369321,0.301791455,0.244703581,0.147454175,0.127437706,0.146339962,0.12025205
0.017,0.655819818,0.407555805,0.300944252,0.182739589,0.158972575,0.180381909,0.157090084
0.019,0.903729776,0.626796867,0.3940666,0.236955784,0.196746295,0.204775369,0.183530994
0.021,1.072380265,0.852353798,0.529324917,0.294771901,0.269065972,0.252190365,0.245340508
0.023,1.158716965,1.042747363,0.657027188,0.362274785,0.37943506,0.319777171,0.316027888
0.025,1.194402099,1.096266379,0.743458452,0.43639973,0.412016672,0.391727748,0.371460903
0.027,1.192629473,1.110130675,0.805610257,0.500475482,0.449039645,0.453137064,0.427858878
0.029,1.166547953,1.125625506,0.883559226,0.527183976,0.525663709,0.509063216,0.467917142
0.031,1.103461559,1.099078252,0.981390457,0.520217229,0.548561493,0.548431862,0.488812983
0.033,1.046237145,1.042578673,1.022861632,0.462947987,0.502678856,0.527550988,0.47737011
0.035,1.01787449,0.9922772,0.979654554,0.354218453,0.4560285,0.471294431,0.437548562
0.037,1.026749316,0.998995288,0.921291227,0.247454589,0.367498741,0.408367915,0.365394719
0.039,1.078384507,1.00648926,0.906680688,0.112590339,0.240550809,0.330890554,0.276275584
0.041,1.139622483,1.003807414,0.946950443,0.004267686,0.090196459,0.188548505,0.171409159
0.043,1.199856049,1.046976521,0.991603631,-0.024547192,-0.020991581,0.033929636,0.059369149
0.045,1.251501416,1.099388339,1.02882872,-0.012888839,-0.043214045,-0.022793135,-0.017543072
0.047,1.300679557,1.122605959,1.076762,0.012439938,-0.047199426,-0.050099169,-0.032480169
0.049,1.358395877,1.175297517,1.092256474,0.056734374,-0.024428063,-0.054158474,-0.022217168
0.051,1.38853594,1.239642594,1.083789258,0.094341918,0.019041323,-0.031977715,-0.003403442
0.053,1.420090116,1.266688117,1.073294023,0.139512659,0.037287028,-0.01829164,0.031685258
0.055,1.461868204,1.299479521,1.049049137,0.216692995,0.077503777,0.008456571,0.064013188
